iter	Passed	Remaining
0	1	113
1	2	110
2	3	110
3	4	103
4	5	103
5	6	103
6	7	105
7	9	105
8	10	103
9	11	103
10	12	101
11	13	99
12	14	97
13	15	96
14	16	94
15	17	93
16	19	93
17	20	93
18	21	91
19	22	90
20	23	89
21	24	87
22	25	86
23	26	85
24	28	84
25	29	83
26	30	81
27	31	81
28	32	79
29	33	78
30	34	77
31	35	76
32	37	75
33	38	74
34	39	73
35	40	72
36	41	70
37	42	69
38	43	68
39	44	67
40	45	65
41	46	63
42	47	62
43	48	61
44	49	60
45	50	59
46	51	58
47	53	57
48	54	56
49	55	55
50	56	54
51	58	53
52	59	52
53	60	51
54	60	49
55	61	48
56	62	47
57	63	46
58	64	45
59	65	43
60	66	42
61	67	41
62	68	40
63	69	39
64	70	38
65	72	37
66	73	36
67	74	34
68	75	33
69	76	32
70	77	31
71	78	30
72	79	29
73	80	28
74	81	27
75	82	26
76	84	25
77	85	24
78	86	22
79	87	21
80	88	20
81	89	19
82	90	18
83	91	17
84	92	16
85	93	15
86	95	14
87	96	13
88	97	12
89	98	10
90	99	9
91	100	8
92	101	7
93	102	6
94	103	5
95	104	4
96	105	3
97	106	2
98	107	1
99	108	0
